"Defect ID","Title","Surface / Module","Linked Test Case","Severity","Priority","Environment","Steps to Reproduce","Expected","Actual","Reproducibility","Reported By","Date","Assigned To","Status","Root Cause / Fix","Retest Result"
"DEF-001","Hindi selected but the home page hero and language card stay in English","Web / Home","WEB-SEEK-I18N-004","S2","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) Open the home page 2) Set language to Hindi in the header 3) Observe the hero, the badge and the 'Select Your Native Language' card","Every visible string renders in Hindi","Header and footer translate; the hero heading, sub-heading, badge and the whole language card stay English","Always","QA - test execution 04-Aug-2026","2026-08-04","Nazir","Open - scheduled (auth-rework spec 5.6)","CONFIRMED in current main: src/components/home/HeroSection.tsx has no useTranslation at all - every string is hardcoded. src/components/home/LanguageSection.tsx likewise. Fix: route both through t() and add keys to en + hi.",""
"DEF-002","Selecting Hindi in the 'Select Your Native Language' dropdown does not change the app","Web / Home","WEB-SEEK-I18N-001","S2","P1","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) Open the home page 2) Open the native-language dropdown 3) Choose Hindi 4) Press Continue","The app switches to Hindi immediately and the choice persists","Nothing changes; the app stays English. The dropdown also offers 10 languages when only English and Hindi exist","Always","QA - test execution 04-Aug-2026","2026-08-04","Nazir","Open - scheduled (auth-rework spec 5.6)","CONFIRMED: src/components/home/LanguageSection.tsx:44 only calls localStorage.setItem('selectedLanguage',...) - a key i18next never reads - and never calls i18n.changeLanguage(). NOTE: this is the SAME bug fixed on /register on 2026-07-12; that sweep missed this component. Not a regression - an incomplete fix. Correct pattern already exists at src/app/register/page.tsx:28-47 (useLanguagePreference, en/hi only).",""
"DEF-003","No logo on the Register and Login screens","Web / Auth","(no coverage - add a case)","S3","P3","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) Go to /register 2) Go to /login","Product branding is visible, consistent with the rest of the flow","Both are bare modal cards on an empty page with no logo and no header","Always","QA - test execution 04-Aug-2026","2026-08-04","Nazir","Open - scheduled (auth-rework spec 5.6)","CONFIRMED: src/app/register/page.tsx and src/app/login/page.tsx render a standalone card with no Header. Inconsistent - src/app/register/password/page.tsx and .../experience/page.tsx already render /assets/logo.png. Fix: match those screens. See DEF-011 for WHICH logo.",""
"DEF-004","Find Jobs > 'Select location' does nothing","Web / Seeker Landing","WEB-SEEK-FEED-006","S2","P1","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) Open /employee 2) Click 'Select location' in the search bar","A location picker opens and the choice filters the job search","Nothing happens - no dropdown, no picker, no state change","Always","QA - test execution 04-Aug-2026","2026-08-04","Nazir","Open - deferred (landing-page pass, not the auth rework)","CONFIRMED: src/app/employee/page.tsx:128 is a <button> with no onClick, no state and no options - decorative only. Fix: wire to /job-feed?location=... The feed already accepts the filter. See DEF-014 - the same search bar also drops the keyword.",""
"DEF-005","Register page does not let you choose job seeker vs employer","Web / Auth","WEB-EMP-REG-001","S2","P1","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) From the home page click Register 2) Observe /register step 1 of 8","Step one lets the user choose job seeker or employer and routes accordingly","/register goes straight into the SEEKER flow ('Create an account for the job search'). Employer registration lives at /employer/register with no link to it from this flow","Always","QA - test execution 04-Aug-2026","2026-08-04","Nazir","Open - scheduled (auth-rework spec 5.2)","CONFIRMED: src/app/register/page.tsx step 1 is language-only; the header Register button always links to /register. Now structurally required by the auth rework - the two flows diverge at step 1, and Google sign-in needs the role before the button.",""
"DEF-006","Seeker landing page does not fit the window - must scroll to reach the search","Web / Seeker Landing","(no coverage - add a case)","S3","P3","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) Open /employee on a standard laptop screen","The primary search action is visible without scrolling","The hero pushes the search bar below the fold","Always","QA - test execution 04-Aug-2026","2026-08-04","Nazir","Open - deferred (landing-page pass, not the auth rework)","CONFIRMED: src/app/employee/page.tsx hero uses fixed text-[72px] and mb-[111px] with no responsive variants, unlike the rest of the page. Fix: responsive type scale plus tighter vertical rhythm.",""
"DEF-007","No way to cancel or remove an Experience once added during registration","Web / Auth","(no coverage - add a case)","S3","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) Register as a seeker to the Experience step 2) Click 'Add Experience' 3) Try to remove the row","Each added experience row has a remove control","No remove control exists; the row cannot be undone","Always","QA - test execution 04-Aug-2026","2026-08-04","Nazir","Open - scheduled (auth-rework spec 5.6)","CONFIRMED: src/app/register/experience/page.tsx has handleAddExperience and an update handler but NO remove handler anywhere in the file. Fix: add one and guard the last row.",""
"DEF-008","Last registration step asks for the mobile number and sends the user back to step 2","Web / Auth","WEB-SEEK-AUTH-001","S2","P1","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) Register as a seeker through to the final step 2) Refresh, or return to the tab later 3) Observe","Registration progress survives a page reload","The user is bounced back to the phone step and must start again","Always (on reload)","QA - test execution 04-Aug-2026","2026-08-04","Nazir","Open - scheduled (auth-rework spec 5.5)","CONFIRMED: the verify-email guard router.replace('/register/phone') fires when the in-memory context is empty. Registration state is deliberately React context, never localStorage, so a plaintext password is never persisted - hence any refresh restarts the flow. Fix (in the rework): persist only NON-SECRET progress (phone, email, verified flags, step) to sessionStorage; the password stays in memory only.",""
"DEF-009","ProSiddhi Admin - unable to log in without registration","Admin / Auth","(admin suite)","S4","P3","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) Open the admin console 2) Look for a way to create an account","Documented: the admin console has no self-registration","There is no sign-up screen","Always","QA - test execution 04-Aug-2026","2026-08-04","-","Closed - by design (not a defect)","WORKING AS DESIGNED. Admin accounts are never self-created: a SUPER_ADMIN creates them via Manage Admins, or the first one is bootstrapped once with POST /api/admin/create (open only until an admin exists). ACTION: give QA credentials and add this to the admin test-plan preconditions - no code change.",""
"DEF-010","Azkashine logo does not open the Azkashine website","Web / Global","(no coverage - add a case)","S3","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) Click the Azkashine logo in the header 2) Click the Azkashine logo in the footer","The company mark links to the company site, or is not presented as a link","Header logo goes to the portal home; the footer logo is not a link at all","Always","QA - test execution 04-Aug-2026","2026-08-04","Nazir","Open - unblocked 2026-08-06 (ProSiddhi logo asset supplied)","ROOT CAUSE is shared with DEF-011: the portal is branded with the PARENT COMPANY mark. src/components/home/Header.tsx:18 and Footer.tsx:37 both render the Azkashine logo. PRODUCT.md section 1: the product brand is ProSiddhi; Azkashine is the parent that issues invoices. Fix: ProSiddhi mark in the header linking to /; if an Azkashine mark is kept anywhere it points to azkashine.com.",""
